strategy_id,strategy_folder,index_trade_count,summary_trade_count,trade_count_match,index_pf,trades_recomputed_pf,pf_match,fee_base_pf,fee_2x_pf,fee_3x_pf,fee_monotonic_ok,final_classification
QL_KELL_WEDGE_POP_CROSSBACK_10_20EMA_v0,01_kell_wedge_pop_crossback,1840,1840,True,1.2423815892231975,1.242381589223198,True,1.2423815892231975,1.135621743913993,1.0418837753978216,True,WEAK_CANDIDATE
QL_MARTIN_LUKE_PULLBACK_AVWAP_v0,02_martin_luke_pullback_avwap,2239,2239,True,1.1211202807899117,1.121120280789912,True,1.1211202807899117,1.0265049670674995,0.9431258743247978,True,WEAK_CANDIDATE
QL_SLINGSHOT_4EMA_HIGH_PULLBACK_v0,03_slingshot_4ema_high_pullback,44,44,True,1.6608949408633282,1.6608949408633285,True,1.6608949408633282,1.4778850299240636,1.3194729799398048,True,WEAK_CANDIDATE
QL_CRABEL_RANGE_EXPANSION_STAGE2_v0,04_crabel_range_expansion_stage2,208,208,True,2.0173175646630512,2.0173175646630512,True,2.0173175646630512,1.9760317771017872,1.936081760324179,True,WEAK_CANDIDATE
QL_BIGBELUGA_RSI_DIVERGENCE_CHOCH_ATR_v0,05_bigbeluga_rsi_choch_atr,302,302,True,1.5857792934159085,1.5857792934159083,True,1.5857792934159085,1.5366468342735151,1.4889345850227236,True,WEAK_CANDIDATE
QL_CANSLIM_SHAKEOUT_PLUS_3_v0,06_canslim_shakeout_plus3,101,101,True,0.568270388157094,0.568270388157094,True,0.568270388157094,0.551664476693523,0.5356069950122581,True,BASELINE_ONLY
QL_LINDA_5SMA_RS_PULLBACK_v0,07_linda_5sma_rs_pullback,559,559,True,1.6051211584400935,1.6051211584400942,True,1.6051211584400935,1.5199420056253563,1.4382916499378546,True,WEAK_CANDIDATE
QL_8AM_ET_OPENING_RANGE_BREAKOUT_v0,08_linda_8am_opening_range,0,0,True,0.0,0.0,True,0.0,0.0,0.0,True,BLOCKED_DATA
QL_HIGHBETA_OPENINGBAR_GAPANDGO_v0,09_highbeta_openingbar_gapandgo,0,0,True,0.0,0.0,True,0.0,0.0,0.0,True,BLOCKED_DATA
QL_TY_MICROCAP_LIQUIDITY_REVERSION_SHORT_v0,10_ty_microcap_short,0,0,True,0.0,0.0,True,0.0,0.0,0.0,True,BLOCKED_DATA
QL_DAILY_EXTENSION_ANTI_CHASE_FILTER_v0,11_daily_extension_anti_chase_filter,795,795,True,1.585245660380075,1.5852456603800749,True,1.585245660380075,1.5506536743808668,1.517194154734932,True,FILTER_ONLY
QL_EMA20_50_TWO_RETEST_BASELINE_v0,12_ema20_50_two_retests_baseline,5614,5614,True,1.0621784843474624,1.0621784843474626,True,1.0621784843474624,0.9620620095418548,0.873869553079399,True,BASELINE_ONLY
