asset,trade_count,assets_tested,aggregate_pf,aggregate_net_return_pct,aggregate_max_dd_pct,return_dd_ratio,win_rate,average_trade_pct,median_trade_pct,average_win_pct,average_loss_pct,expectancy_pct,exposure_pct,fee_2x_pf,fee_3x_pf,fee_monotonic,classification
ADAUSDT,8,1,0.5787,-11.6056,-21.6009,-0.5373,62.5,-1.3062,0.9375,2.8705,-8.2676,-1.3062,10.0,0.5466,0.5153,True,DATA_BLOCKED
AVAXUSDT,12,1,0.4829,-34.2041,-35.2288,-0.9709,33.3333,-2.7557,-1.3298,7.719,-7.993,-2.7557,10.0,0.4683,0.4542,True,DATA_BLOCKED
BNBUSDT,13,1,0.0347,-76.1384,-73.8698,-1.0307,7.6923,-9.2879,-3.3857,4.3435,-10.4239,-9.2879,10.0,0.0334,0.0321,True,DATA_BLOCKED
BTCUSDT,7,1,1.5033,6.1345,-12.9678,0.4731,57.1429,1.2038,1.2475,6.2928,-5.5815,1.2038,10.0,1.4436,1.3863,True,DATA_BLOCKED
DOGEUSDT,10,1,1.3677,4.1097,-40.1656,0.1023,70.0,1.5726,4.5759,8.3565,-14.2566,1.5726,10.0,1.3368,1.3064,True,DATA_BLOCKED
DOTUSDT,10,1,5.0897,47.5047,-8.2963,5.726,80.0,4.1096,6.2603,6.3931,-5.0244,4.1096,10.0,4.8776,4.6753,True,DATA_BLOCKED
ETHUSDT,16,1,0.4472,-42.0773,-40.2941,-1.0443,37.5,-2.9367,-4.4507,6.3363,-8.5004,-2.9367,10.0,0.4327,0.4185,True,DATA_BLOCKED
LINKUSDT,16,1,0.434,-36.0094,-39.5728,-0.91,37.5,-2.4548,-1.9276,5.0199,-6.9396,-2.4548,10.0,0.4164,0.3995,True,DATA_BLOCKED
SOLUSDT,11,1,0.4401,-30.8068,-25.3829,-1.2137,45.4545,-2.9019,-2.6814,5.0174,-9.5012,-2.9019,10.0,0.4242,0.4087,True,DATA_BLOCKED
XRPUSDT,8,1,0.2212,-46.4378,-40.1262,-1.1573,25.0,-6.6059,-4.2002,7.5048,-11.3094,-6.6059,10.0,0.2154,0.2097,True,DATA_BLOCKED
