timestamp,open,high,low,close,volume
2026-01-01T09:00:00,100.0,100.2,99.8,100.05,1000
2026-01-01T09:01:00,100.03,100.23,99.83,100.08,1000
2026-01-01T09:02:00,100.06,100.26,99.86,100.11,1000
2026-01-01T09:03:00,100.09,100.29,99.89,100.14,1000
2026-01-01T09:04:00,100.12,100.32000000000001,99.92,100.17,1000
2026-01-01T09:05:00,100.15,100.35000000000001,99.95,100.2,1000
2026-01-01T09:06:00,100.18,100.38000000000001,99.98,100.23,1000
2026-01-01T09:07:00,100.21,100.41,100.00999999999999,100.25999999999999,1000
2026-01-01T09:08:00,100.24,100.44,100.03999999999999,100.28999999999999,1000
2026-01-01T09:09:00,100.27,100.47,100.07,100.32,1000
2026-01-01T09:10:00,100.3,100.5,100.1,100.35,1000
2026-01-01T09:11:00,100.33,100.53,100.13,100.38,1000
2026-01-01T09:12:00,100.36,100.56,100.16,100.41,1000
2026-01-01T09:13:00,100.39,100.59,100.19,100.44,1000
2026-01-01T09:14:00,100.42,100.62,100.22,100.47,1000
2026-01-01T09:15:00,100.45,100.65,100.25,100.5,1000
2026-01-01T09:16:00,100.48,100.68,100.28,100.53,1000
2026-01-01T09:17:00,100.51,100.71000000000001,100.31,100.56,1000
2026-01-01T09:18:00,100.54,100.74000000000001,100.34,100.59,1000
2026-01-01T09:19:00,100.57,100.77,100.36999999999999,100.61999999999999,1000
2026-01-01T09:20:00,100.6,100.8,100.39999999999999,100.64999999999999,1000
2026-01-01T09:21:00,100.63,100.83,100.42999999999999,100.67999999999999,1000
2026-01-01T09:22:00,100.66,100.86,100.46,100.71,1000
2026-01-01T09:23:00,100.69,100.89,100.49,100.74,1000
2026-01-01T09:24:00,100.72,100.92,100.52,100.77,1000
2026-01-01T09:25:00,100.75,100.95,100.55,100.8,1000
2026-01-01T09:26:00,100.78,100.98,100.58,100.83,1000
2026-01-01T09:27:00,100.81,101.01,100.61,100.86,1000
2026-01-01T09:28:00,100.84,101.04,100.64,100.89,1000
2026-01-01T09:29:00,100.87,101.07000000000001,100.67,100.92,1000
2026-01-01T09:30:00,100.9,101.10000000000001,100.7,100.95,1000
2026-01-01T09:31:00,100.93,101.13000000000001,100.73,100.98,1000
2026-01-01T09:32:00,100.96,101.16,100.75999999999999,101.00999999999999,1000
2026-01-01T09:33:00,100.99,101.19,100.78999999999999,101.03999999999999,1000
2026-01-01T09:34:00,101.02,101.22,100.82,101.07,1000
2026-01-01T09:35:00,101.05,101.25,100.85,101.1,1000
2026-01-01T09:36:00,101.08,101.28,100.88,101.13,1000
2026-01-01T09:37:00,101.11,101.31,100.91,101.16,1000
2026-01-01T09:38:00,101.14,101.34,100.94,101.19,1000
2026-01-01T09:39:00,101.17,101.37,100.97,101.22,1000
2026-01-01T09:40:00,101.2,101.4,101.0,101.25,1000
2026-01-01T09:41:00,101.23,101.43,101.03,101.28,1000
2026-01-01T09:42:00,101.26,101.46000000000001,101.06,101.31,1000
2026-01-01T09:43:00,101.29,101.49000000000001,101.09,101.34,1000
2026-01-01T09:44:00,101.32,101.52,101.11999999999999,101.36999999999999,1000
2026-01-01T09:45:00,101.35,101.55,101.14999999999999,101.39999999999999,1000
2026-01-01T09:46:00,101.38,101.58,101.17999999999999,101.42999999999999,1000
2026-01-01T09:47:00,101.41,101.61,101.21,101.46,1000
2026-01-01T09:48:00,101.44,101.64,101.24,101.49,1000
2026-01-01T09:49:00,101.47,101.67,101.27,101.52,1000
2026-01-01T09:50:00,101.5,101.7,101.3,101.55,1000
2026-01-01T09:51:00,101.53,101.73,101.33,101.58,1000
2026-01-01T09:52:00,101.56,101.76,101.36,101.61,1000
2026-01-01T09:53:00,101.59,101.79,101.39,101.64,1000
2026-01-01T09:54:00,101.62,101.82000000000001,101.42,101.67,1000
2026-01-01T09:55:00,101.65,101.85000000000001,101.45,101.7,1000
2026-01-01T09:56:00,101.68,101.88000000000001,101.48,101.73,1000
2026-01-01T09:57:00,101.71,101.91,101.50999999999999,101.75999999999999,1000
2026-01-01T09:58:00,101.74,101.94,101.53999999999999,101.78999999999999,1000
2026-01-01T09:59:00,101.77,101.97,101.57,101.82,1000
2026-01-01T10:00:00,98.0,98.2,94.0,94.5,7000
2026-01-01T10:01:00,94.4,98.6,94.0,98.7,4000
2026-01-01T10:02:00,98.6,98.8,93.5,94.0,3000
