asset,trade_count,assets_tested,aggregate_pf,aggregate_net_return_pct,aggregate_max_dd_pct,return_dd_ratio,win_rate,average_trade_pct,median_trade_pct,average_win_pct,average_loss_pct,expectancy_pct,exposure_pct,fee_2x_pf,fee_3x_pf,fee_monotonic,classification
ADAUSDT,49,1,0.8793,-53.9851,-72.5655,-0.744,36.7347,-0.7144,-3.0779,14.1694,-9.3566,-0.7144,31.7007,0.8608,0.8428,True,DATA_BLOCKED
AVAXUSDT,49,1,1.7866,152.0595,-60.2936,2.522,53.0612,4.3098,0.352,18.4486,-11.6732,4.3098,31.9728,1.7569,1.7278,True,DATA_BLOCKED
BNBUSDT,48,1,1.7984,132.1963,-44.8296,2.9489,52.0833,2.9224,0.2831,12.639,-7.6392,2.9224,33.6111,1.7538,1.7105,True,DATA_BLOCKED
BTCUSDT,52,1,1.3101,36.2724,-38.3284,0.9464,44.2308,1.0889,-2.092,10.3991,-6.2952,1.0889,32.8846,1.2708,1.2329,True,DATA_BLOCKED
DOGEUSDT,42,1,1.7547,146.326,-55.603,2.6316,52.381,4.3363,2.6945,19.2473,-12.0658,4.3363,33.8889,1.7266,1.699,True,DATA_BLOCKED
DOTUSDT,45,1,0.8689,-55.8849,-69.0647,-0.8092,42.2222,-0.817,-5.3062,12.8204,-10.7828,-0.817,31.2593,0.8513,0.834,True,DATA_BLOCKED
ETHUSDT,51,1,1.2485,15.397,-59.8097,0.2574,43.1373,1.2961,-2.8347,15.0977,-9.174,1.2961,32.7451,1.2225,1.1973,True,DATA_BLOCKED
LINKUSDT,42,1,1.8228,161.8884,-25.4428,6.3628,52.381,4.1516,1.3546,17.5581,-10.5956,4.1516,32.9365,1.7901,1.7581,True,DATA_BLOCKED
SOLUSDT,44,1,1.8466,171.2105,-79.3887,2.1566,47.7273,5.9151,-1.2585,27.0321,-13.3656,5.9151,33.5606,1.8221,1.798,True,DATA_BLOCKED
XRPUSDT,43,1,1.3825,24.0612,-50.3057,0.4783,44.186,1.8995,-1.0757,15.5391,-8.8985,1.8995,33.1783,1.3535,1.3254,True,DATA_BLOCKED
