asset,trade_count,assets_tested,aggregate_pf,aggregate_net_return_pct,aggregate_max_dd_pct,return_dd_ratio,win_rate,average_trade_pct,median_trade_pct,average_win_pct,average_loss_pct,expectancy_pct,exposure_pct,fee_2x_pf,fee_3x_pf,fee_monotonic,classification
ADAUSDT,49,1,2.1343,423.6685,-54.8884,7.7187,32.6531,5.1197,-3.0195,29.5014,-6.7017,5.1197,21.0204,2.0883,2.0438,True,DATA_BLOCKED
AVAXUSDT,41,1,1.5791,81.6928,-53.3108,1.5324,34.1463,3.2221,-4.3985,25.7297,-8.4485,3.2221,23.9837,1.5498,1.5212,True,DATA_BLOCKED
BNBUSDT,79,1,1.7612,292.5305,-51.1891,5.7147,32.9114,2.4918,-2.979,17.5174,-4.8792,2.4918,23.4599,1.7072,1.6557,True,DATA_BLOCKED
BTCUSDT,80,1,1.5133,112.6023,-36.9062,3.051,36.25,1.4851,-2.2344,12.0782,-4.5384,1.4851,25.2083,1.4592,1.4075,True,DATA_BLOCKED
DOGEUSDT,43,1,1.5516,79.1139,-39.7355,1.991,30.2326,2.287,-3.1282,21.2794,-5.943,2.287,22.7132,1.5123,1.4745,True,DATA_BLOCKED
DOTUSDT,44,1,1.4979,60.8317,-50.9752,1.1934,31.8182,2.1992,-3.9004,20.7952,-6.4789,2.1992,19.9242,1.4621,1.4276,True,DATA_BLOCKED
ETHUSDT,68,1,1.5664,137.4208,-56.8238,2.4184,35.2941,1.9856,-3.5655,15.5592,-5.4182,1.9856,26.3725,1.5202,1.476,True,DATA_BLOCKED
LINKUSDT,73,1,1.2475,13.93,-52.135,0.2672,30.137,1.1211,-3.5848,18.749,-6.4831,1.1211,21.7352,1.217,1.1876,True,DATA_BLOCKED
SOLUSDT,52,1,1.617,136.9358,-44.1039,3.1048,32.6923,3.262,-4.0375,26.151,-7.8555,3.262,22.5,1.5853,1.5546,True,DATA_BLOCKED
XRPUSDT,55,1,0.5252,-88.3116,-90.62,-0.9745,20.0,-3.0451,-4.5927,16.845,-8.0177,-3.0451,22.6061,0.5138,0.5027,True,DATA_BLOCKED
