video_id,status,missing_category,action_required
Tm0dkf8_giA,PARTIAL_MISSING,warnings_caveats,ADD_TO_WIKI
6aOnCK1gv2w,PARTIAL_MISSING,warnings_caveats,ADD_TO_WIKI
6tnREqUJ1WY,PARTIAL_MISSING,warnings_caveats,ADD_TO_WIKI
lTiR1pc82EE,PARTIAL_MISSING,warnings_caveats;trader_wisdom,ADD_TO_WIKI
R215f4fj7V8,PARTIAL_MISSING,trader_wisdom,ADD_TO_WIKI
RTHRh_GLwH8,PARTIAL_MISSING,warnings_caveats,ADD_TO_WIKI
UMgJ0P8fe0s,PARTIAL_MISSING,market_asset_class;trader_wisdom,ADD_TO_WIKI
zw96qkUn9_g,PARTIAL_MISSING,warnings_caveats,ADD_TO_WIKI
JS4_6gv0PpI,PARTIAL_MISSING,warnings_caveats,ADD_TO_WIKI
_AAX1ylNbIE,PARTIAL_MISSING,timeframe,ADD_TO_WIKI
UtNrp_Uz9Oc,PARTIAL_MISSING,filters_gates,ADD_TO_WIKI
