asset,trade_count,assets_tested,aggregate_pf,aggregate_net_return_pct,aggregate_max_dd_pct,return_dd_ratio,win_rate,average_trade_pct,median_trade_pct,average_win_pct,average_loss_pct,expectancy_pct,exposure_pct,fee_2x_pf,fee_3x_pf,fee_monotonic,classification
ADAUSDT,11,1,1.6046,16.7405,-30.6042,0.547,27.2727,3.5314,-4.9842,34.364,-8.0308,3.5314,38.7879,1.5755,1.5472,True,DATA_BLOCKED
AVAXUSDT,9,1,0.9186,-31.4729,-37.8817,-0.8308,22.2222,-0.8107,-4.4027,41.1677,-12.8045,-0.8107,44.8148,0.9074,0.8964,True,DATA_BLOCKED
BNBUSDT,11,1,0.7845,-14.2891,-31.4513,-0.4543,9.0909,-0.8496,-3.939,34.0215,-4.3368,-0.8496,36.0606,0.7607,0.7381,True,DATA_BLOCKED
BTCUSDT,14,1,0.9328,-8.4571,-40.0783,-0.211,21.4286,-0.2392,-3.4974,15.4915,-4.5294,-0.2392,47.8571,0.9017,0.8721,True,DATA_BLOCKED
DOGEUSDT,13,1,3.9325,222.7949,-37.686,5.9119,23.0769,19.9126,-6.8111,115.7122,-8.8273,19.9126,47.1795,3.8757,3.8205,True,DATA_BLOCKED
DOTUSDT,12,1,0.7528,-22.9294,-35.6215,-0.6437,16.6667,-1.3231,-2.4591,24.1786,-6.4234,-1.3231,40.5556,0.7354,0.7185,True,DATA_BLOCKED
ETHUSDT,14,1,4.0007,104.6252,-12.4073,8.4326,50.0,6.1029,0.4028,16.2734,-4.0677,6.1029,60.4762,3.8574,3.7221,True,DATA_BLOCKED
LINKUSDT,17,1,2.3651,57.0222,-32.8519,1.7357,29.4118,5.4732,-4.3315,32.2405,-5.6799,5.4732,39.2157,2.3075,2.2523,True,DATA_BLOCKED
SOLUSDT,11,1,3.2,103.04,-22.9805,4.4838,27.2727,13.148,-6.0024,70.1223,-8.2173,13.148,37.5758,3.1486,3.0986,True,DATA_BLOCKED
XRPUSDT,23,1,1.3067,-17.6712,-76.0196,-0.2325,13.0435,2.203,-7.4701,71.9634,-8.2611,2.203,39.2754,1.2858,1.2655,True,DATA_BLOCKED
