asset,trade_count,assets_tested,aggregate_pf,aggregate_net_return_pct,aggregate_max_dd_pct,return_dd_ratio,win_rate,average_trade_pct,median_trade_pct,average_win_pct,average_loss_pct,expectancy_pct,exposure_pct,fee_2x_pf,fee_3x_pf,fee_monotonic,classification
ADAUSDT,829,1,1.1238,45.2478,-95.1992,0.4753,46.2002,0.2799,-0.5125,5.5004,-4.2032,0.2799,3.3333,1.0687,1.0167,True,DATA_BLOCKED
AVAXUSDT,716,1,1.3933,6762.0606,-63.3341,106.7681,53.6313,0.8741,0.4558,5.7738,-4.7929,0.8741,3.3333,1.3309,1.2714,True,DATA_BLOCKED
BNBUSDT,805,1,1.2193,336.9537,-71.6894,4.7002,45.2174,0.3531,-0.4339,4.341,-2.9385,0.3531,3.3333,1.139,1.0648,True,DATA_BLOCKED
BTCUSDT,953,1,1.2405,785.686,-48.9238,16.0594,47.744,0.3172,-0.2092,3.4279,-2.5248,0.3172,3.3333,1.1427,1.0534,True,DATA_BLOCKED
DOGEUSDT,793,1,1.4402,457.101,-98.442,4.6434,43.3796,1.0902,-0.6984,8.2223,-4.3741,1.0902,3.3333,1.3812,1.3251,True,DATA_BLOCKED
DOTUSDT,764,1,1.1933,293.7743,-87.7134,3.3493,47.2513,0.4076,-0.3153,5.3262,-3.9984,0.4076,3.3333,1.1323,1.0749,True,DATA_BLOCKED
ETHUSDT,861,1,1.2912,1469.6192,-59.8441,24.5575,49.5935,0.5011,-0.1147,4.4802,-3.4138,0.5011,3.3333,1.2138,1.1415,True,DATA_BLOCKED
LINKUSDT,829,1,1.0766,-52.0013,-96.0198,-0.5416,48.9747,0.1899,-0.0909,5.4499,-4.8587,0.1899,3.3333,1.0275,0.9807,True,DATA_BLOCKED
SOLUSDT,736,1,1.3029,1630.9075,-75.7758,21.5228,49.8641,0.7205,-0.0014,6.2163,-4.7454,0.7205,3.3333,1.2462,1.1922,True,DATA_BLOCKED
XRPUSDT,819,1,1.2486,550.6461,-96.4346,5.71,43.3455,0.5249,-0.6626,6.0832,-3.7276,0.5249,3.3333,1.1857,1.1266,True,DATA_BLOCKED
