timestamp,open,high,low,close,volume,session_vwap,close_slope,vwap_slope,below_vwap_ratio,above_vwap_ratio,range_width_pct,range_bound,downside_capitulation,upside_capitulation,trend_continuation_long,trend_continuation_short,right_side_v_long,right_side_v_short,long_rejected_by_vwap,short_rejected_by_vwap,raw_long_pulse,raw_short_pulse,initial_stop_long,initial_stop_short
2026-01-01T09:00:00,100.0,100.2,99.8,100.05,1000.0,100.016667,0.0,0.0,0.0,0.0,999.0,False,False,False,False,False,False,False,False,False,False,False,,
2026-01-01T09:01:00,100.03,100.23,99.83,100.08,1000.0,100.031667,0.03,0.015,0.0,0.0,999.0,False,False,False,False,False,False,False,False,False,False,False,,
2026-01-01T09:02:00,100.06,100.26,99.86,100.11,1000.0,100.046667,0.03,0.015,0.0,0.0,999.0,False,False,False,False,False,False,False,False,False,False,False,,
2026-01-01T09:03:00,100.09,100.29,99.89,100.14,1000.0,100.061667,0.03,0.015,0.0,0.0,999.0,False,False,False,False,False,False,False,False,False,False,False,,
2026-01-01T09:04:00,100.12,100.32000000000001,99.92,100.17,1000.0,100.076667,0.03,0.015,0.0,0.0,999.0,False,False,False,False,False,False,False,False,False,False,False,,
2026-01-01T09:05:00,100.15,100.35000000000001,99.95,100.2,1000.0,100.091667,0.03,0.015,0.0,0.0,999.0,False,False,False,False,False,False,False,False,False,False,False,,
2026-01-01T09:06:00,100.18,100.38000000000001,99.98,100.23,1000.0,100.106667,0.03,0.015,0.0,0.0,999.0,False,False,False,False,False,False,False,False,False,False,False,,
2026-01-01T09:07:00,100.21,100.41,100.00999999999999,100.25999999999999,1000.0,100.121667,0.03,0.015,0.0,1.0,999.0,False,False,False,False,False,False,False,False,True,False,False,,
2026-01-01T09:08:00,100.24,100.44,100.03999999999999,100.28999999999999,1000.0,100.136667,0.03,0.015,0.0,1.0,999.0,False,False,False,False,False,False,False,False,True,False,False,,
2026-01-01T09:09:00,100.27,100.47,100.07,100.32,1000.0,100.151667,0.03,0.015,0.0,1.0,999.0,False,False,False,False,False,False,False,False,True,False,False,,
2026-01-01T09:10:00,100.3,100.5,100.1,100.35,1000.0,100.166667,0.03,0.015,0.0,1.0,999.0,False,False,False,False,False,False,False,False,True,False,False,,
2026-01-01T09:11:00,100.33,100.53,100.13,100.38,1000.0,100.181667,0.03,0.015,0.0,1.0,999.0,False,False,False,False,False,False,False,False,True,False,False,,
2026-01-01T09:12:00,100.36,100.56,100.16,100.41,1000.0,100.196667,0.03,0.015,0.0,1.0,999.0,False,False,False,False,False,False,False,False,True,False,False,,
2026-01-01T09:13:00,100.39,100.59,100.19,100.44,1000.0,100.211667,0.03,0.015,0.0,1.0,999.0,False,False,False,False,False,False,False,False,True,False,False,,
2026-01-01T09:14:00,100.42,100.62,100.22,100.47,1000.0,100.226667,0.03,0.015,0.0,1.0,999.0,False,False,False,False,False,False,False,False,True,False,False,,
2026-01-01T09:15:00,100.45,100.65,100.25,100.5,1000.0,100.241667,0.03,0.015,0.0,1.0,999.0,False,False,False,False,False,False,False,False,True,False,False,,
2026-01-01T09:16:00,100.48,100.68,100.28,100.53,1000.0,100.256667,0.03,0.015,0.0,1.0,999.0,False,False,False,False,False,False,False,False,True,False,False,,
2026-01-01T09:17:00,100.51,100.71000000000001,100.31,100.56,1000.0,100.271667,0.03,0.015,0.0,1.0,999.0,False,False,False,False,False,False,False,False,True,False,False,,
2026-01-01T09:18:00,100.54,100.74000000000001,100.34,100.59,1000.0,100.286667,0.03,0.015,0.0,1.0,999.0,False,False,False,False,False,False,False,False,True,False,False,,
2026-01-01T09:19:00,100.57,100.77,100.36999999999999,100.61999999999999,1000.0,100.301667,0.03,0.015,0.0,1.0,0.964023,True,False,False,False,False,False,False,False,True,False,False,,
2026-01-01T09:20:00,100.6,100.8,100.39999999999999,100.64999999999999,1000.0,100.316667,0.03,0.015,0.0,1.0,0.963736,True,False,False,False,False,False,False,False,True,False,False,,
2026-01-01T09:21:00,100.63,100.83,100.42999999999999,100.67999999999999,1000.0,100.331667,0.03,0.015,0.0,1.0,0.963449,True,False,False,False,False,False,False,False,True,False,False,,
2026-01-01T09:22:00,100.66,100.86,100.46,100.71,1000.0,100.346667,0.03,0.015,0.0,1.0,0.963162,True,False,False,False,False,False,False,False,True,False,False,,
2026-01-01T09:23:00,100.69,100.89,100.49,100.74,1000.0,100.361667,0.03,0.015,0.0,1.0,0.962875,True,False,False,False,False,False,False,False,True,False,False,,
2026-01-01T09:24:00,100.72,100.92,100.52,100.77,1000.0,100.376667,0.03,0.015,0.0,1.0,0.962588,True,False,False,False,False,False,False,False,True,False,False,,
2026-01-01T09:25:00,100.75,100.95,100.55,100.8,1000.0,100.391667,0.03,0.015,0.0,1.0,0.962302,True,False,False,False,False,False,False,False,True,False,False,,
2026-01-01T09:26:00,100.78,100.98,100.58,100.83,1000.0,100.406667,0.03,0.015,0.0,1.0,0.962015,True,False,False,False,False,False,False,False,True,False,False,,
2026-01-01T09:27:00,100.81,101.01,100.61,100.86,1000.0,100.421667,0.03,0.015,0.0,1.0,0.961729,True,False,False,False,False,False,False,False,True,False,False,,
2026-01-01T09:28:00,100.84,101.04,100.64,100.89,1000.0,100.436667,0.03,0.015,0.0,1.0,0.961443,True,False,False,False,False,False,False,False,True,False,False,,
2026-01-01T09:29:00,100.87,101.07000000000001,100.67,100.92,1000.0,100.451667,0.03,0.015,0.0,1.0,0.961157,True,False,False,False,False,False,False,False,True,False,False,,
2026-01-01T09:30:00,100.9,101.10000000000001,100.7,100.95,1000.0,100.466667,0.03,0.015,0.0,1.0,0.960872,True,False,False,False,False,False,False,False,True,False,False,,
2026-01-01T09:31:00,100.93,101.13000000000001,100.73,100.98,1000.0,100.481667,0.03,0.015,0.0,1.0,0.960586,True,False,False,False,False,False,False,False,True,False,False,,
2026-01-01T09:32:00,100.96,101.16,100.75999999999999,101.00999999999999,1000.0,100.496667,0.03,0.015,0.0,1.0,0.960301,True,False,False,False,False,False,False,False,True,False,False,,
